APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,7,36,1,0,V4P3E7,0,0,0,,402.3883333,,227095.2733,111155.77,0,0,6.083333333,0,0,11.75,0.333333333,0,3,0,0,A,680,320,2182,44333.82353,6089.473684
Y,9,30,1,0,V5Z2X3,0,0,,1343.2575,3706.03,,,,0,0,0.25,0,0,0,0,0,3,0,0,D,630,320,1653,35792.06349,3770.588235
Y,12,39,0,1,V7L4X2,1,0,637.0083333,1340.199167,2098.8875,,1311.61,,0,0,0.583333333,5.416666667,6.916666667,3.833333333,0,0,4,0,0,D,800,,,31752.5,2113.043478
Y,14,40,0,1,V3K5N2,1,0,248.3758333,,299.4408333,,7627.116667,,0,0,2.333333333,5.083333333,0,0.5,0,0,3,0,1,D,670,310,1367,32479.10448,3218.918919
Y,25,50,1,0,V3N2J9,0,0,4222.6625,,4298.2275,,,,0,0,2.833333333,0,0,1.916666667,0,0,2,0,0,D,960,,,23006.25,1621.621622
N,28,59,0,1,V5E3H2,1,0,38.92,,544.61,,,,0,0,2,4,0,0,0,0,3,,,,730,,,21506.84931,2787.096774
Y,29,36,1,0,V5G4B6,1,1,344.775,,404.5641667,11149.15583,,,0,0,1.75,23.5,8.833333333,6,0,0,3,0,-1,D,820,410,1867,37417.07317,1836.363636
N,32,37,0,1,V5P4B5,1,0,0.294166667,,11.76166667,,26088.07417,185341.53,0,0,2.333333333,0,0,3.416666667,0,0,3.9,1,0,C,850,370,1828,25721.17647,3316.41791
N,40,51,0,1,V3T5H6,1,0,4899.188333,,5025.448333,959.7966667,3023.868333,190930.82,0,0,1.916666667,3.5,7.583333333,4.25,7.333333333,0,3.1,-1,-2,A,680,290,914,26948.52941,2704.347826
Y,50,57,1,0,V6R1H1,1,1,6551.754167,0,25777.775,,,,0,0,1.583333333,0.666666667,0,1.916666667,0,0,4,0,1,D,480,240,1754,46183.33333,9215.151515
